area_name,area_type,ref_period,crime_or_offence,measure_type,value
North Ayrshire,Local Authority,2010/2011,all-crimes,count,11060
North Ayrshire,Local Authority,2010/2011,all-group-1-non-sexual-crimes-of-violence,count,2382
Highland,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,5
Highland,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,3
North Ayrshire,Local Authority,2010/2011,crimes-group-1-robbery,count,52
North Ayrshire,Local Authority,2010/2011,crimes-group-2-rape-attempted-rape,count,37
North Ayrshire,Local Authority,2010/2011,all-group-2-sexual-crimes,count,174
North Ayrshire,Local Authority,2010/2011,all-group-3-crimes-of-dishonesty,count,4197
Highland,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,0
Highland,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,5
Highland,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,3165
Highland,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,206
Highland,Local Authority,2010/2011,crimes-group-1-common-assault,count,2717
Highland,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,182
Highland,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,19
Highland,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,177
North Ayrshire,Local Authority,2010/2011,crimes-group-3-other-dishonesty,count,146
North Ayrshire,Local Authority,2010/2011,crimes-group-4-fire-raising,count,121
North Ayrshire,Local Authority,2010/2011,crimes-group-3-other-theft,count,1774
North Ayrshire,Local Authority,2010/2011,crimes-group-3-fraud,count,122
East Lothian,Local Authority,2010/2011,offences-group-6-urinating-etc,count,104
East Lothian,Local Authority,2010/2011,crimes-group-5-crimes-against-public-justice,count,206
North Ayrshire,Local Authority,2010/2011,crimes-group-5-crimes-against-public-justice,count,588
North Ayrshire,Local Authority,2010/2011,offences-group-6-urinating-etc,count,260
North Ayrshire,Local Authority,2010/2011,crimes-group-2-other-sexual-crimes,count,23
North Ayrshire,Local Authority,2010/2011,crimes-group-3-housebreaking,count,933
North Ayrshire,Local Authority,2010/2011,crimes-group-2-sexual-assault,count,70
North Ayrshire,Local Authority,2010/2011,crimes-group-2-crimes-associated-with-prostitution,count,3
North Ayrshire,Local Authority,2010/2011,crimes-group-3-theft-from-a-motor-vehicle,count,174
North Ayrshire,Local Authority,2010/2011,crimes-group-3-shoplifting,count,752
North Ayrshire,Local Authority,2010/2011,crimes-group-3-theft-by-opening-lockfast-places,count,77
Highland,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,765
Highland,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,825
West Dunbartonshire,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,275
West Dunbartonshire,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,483
Highland,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,13
Highland,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,155
Highland,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,449
Highland,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,639
West Dunbartonshire,Local Authority,2010/2011,offences-group-7-environmental-offences,count,32
West Dunbartonshire,Local Authority,2010/2011,offences-group-7-licensing-offences,count,28
West Dunbartonshire,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,300
West Dunbartonshire,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,204
West Dunbartonshire,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,217
West Dunbartonshire,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,144
West Dunbartonshire,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,33
West Dunbartonshire,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,3
Highland,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,1367
Highland,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,333
Highland,Local Authority,2010/2011,all-group-6-antisocial-offences,count,4165
Highland,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,7
Highland,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,111
Highland,Local Authority,2010/2011,crimes-group-4-vandalism,count,2933
Highland,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,263
Highland,Local Authority,2010/2011,all-group-5-crimes-against-society,count,3128
Highland,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,235
Highland,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,664
Highland,Local Authority,2010/2011,offences-group-7-licensing-offences,count,171
Highland,Local Authority,2010/2011,offences-group-7-environmental-offences,count,90
Highland,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,67
Highland,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,2926
Highland,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,907
Falkirk,Local Authority,2010/2011,crimes-group-2-communicating-indecently,count,1
Falkirk,Local Authority,2010/2011,crimes-group-2-causing-to-view-sexual-activity-or-images,count,14
Falkirk,Local Authority,2010/2011,crimes-group-3-theft-of-a-motor-vehicle,count,187
Falkirk,Local Authority,2010/2011,crimes-group-2-indecent-photos-of-children,count,16
Falkirk,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,107
Falkirk,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,0
Falkirk,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,49
Falkirk,Local Authority,2010/2011,crimes-group-1-common-assault,count,2144
Falkirk,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,197
Falkirk,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,167
Falkirk,Local Authority,2010/2011,crimes-group-5-other-crimes-against-society,count,8
Falkirk,Local Authority,2010/2011,crimes-group-5-drugs-possession,count,534
Falkirk,Local Authority,2010/2011,crimes-group-4-vandalism,count,2044
Falkirk,Local Authority,2010/2011,all-group-4-damage-and-reckless-behaviour,count,2244
Falkirk,Local Authority,2010/2011,all-group-5-crimes-against-society,count,1645
Falkirk,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,86
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,39
Na h-Eileanan Siar,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,95
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-licensing-offences,count,24
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-environmental-offences,count,10
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,277
Na h-Eileanan Siar,Local Authority,2010/2011,all-group-6-antisocial-offences,count,392
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,79
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,7
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,47
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,66
Falkirk,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,1
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,25
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,0
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,22
Na h-Eileanan Siar,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,62
East Lothian,Local Authority,2010/2011,crimes-group-2-sexual-assault,count,36
East Lothian,Local Authority,2010/2011,crimes-group-2-rape-attempted-rape,count,13
East Lothian,Local Authority,2010/2011,crimes-group-2-other-sexual-crimes,count,7
East Lothian,Local Authority,2010/2011,crimes-group-2-crimes-associated-with-prostitution,count,0
East Lothian,Local Authority,2010/2011,all-group-2-sexual-crimes,count,68
East Lothian,Local Authority,2010/2011,all-group-1-non-sexual-crimes-of-violence,count,895
East Lothian,Local Authority,2010/2011,crimes-group-1-robbery,count,10
East Lothian,Local Authority,2010/2011,all-group-3-crimes-of-dishonesty,count,2027
East Lothian,Local Authority,2010/2011,crimes-group-3-fraud,count,111
East Lothian,Local Authority,2010/2011,crimes-group-3-other-theft,count,923
East Lothian,Local Authority,2010/2011,crimes-group-4-fire-raising,count,44
East Lothian,Local Authority,2010/2011,crimes-group-3-other-dishonesty,count,40
East Lothian,Local Authority,2010/2011,crimes-group-3-theft-by-opening-lockfast-places,count,64
East Lothian,Local Authority,2010/2011,crimes-group-3-housebreaking,count,296
East Lothian,Local Authority,2010/2011,crimes-group-3-shoplifting,count,361
East Lothian,Local Authority,2010/2011,crimes-group-3-theft-from-a-motor-vehicle,count,98
Falkirk,Local Authority,2010/2011,offences-group-7-community-and-public-order-offences,count,221
Falkirk,Local Authority,2010/2011,all-group-7-miscellaneous-offences,count,405
Falkirk,Local Authority,2010/2011,offences-group-7-licensing-offences,count,66
Falkirk,Local Authority,2010/2011,offences-group-7-environmental-offences,count,35
Falkirk,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,1933
Falkirk,Local Authority,2010/2011,all-group-6-antisocial-offences,count,2419
Falkirk,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,155
Falkirk,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,137
Falkirk,Local Authority,2010/2011,offences-group-8-seat-belt-offences,count,1064
Falkirk,Local Authority,2010/2011,offences-group-8-driving-under-the-influence,count,238
East Lothian,Local Authority,2010/2011,all-crimes,count,5324
Falkirk,Local Authority,2010/2011,offences-group-8-mobile-phone-offences,count,677
Falkirk,Local Authority,2010/2011,offences-group-7-other-misc-offences,count,19
Falkirk,Local Authority,2010/2011,offences-group-7-wildlife-offences,count,64
Falkirk,Local Authority,2010/2011,offences-group-8-dangerous-and-careless-driving,count,299
Renfrewshire,Local Authority,2010/2011,crimes-group-5-weapons-possession-not-used,count,225
Renfrewshire,Local Authority,2010/2011,crimes-group-5-drugs-supply,count,215
Renfrewshire,Local Authority,2010/2011,crimes-group-4-reckless-conduct,count,94
Renfrewshire,Local Authority,2010/2011,all-group-5-crimes-against-society,count,2547
